Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
55,0,56724.488576470800,15,0,54.99486114049870,0,4,1
59,1,77136.51952227830,6,3,54.91870112898600,0,3,1
62,1,62288.367422994000,8,0,11.599760984373900,0,0,0
40,1,124336.13834537600,10,2,6.458480649802570,0,0,0
57,1,56722.23671701350,1,3,7.736843033990800,1,1,0
45,1,101410.4617847380,19,4,25.433759360166800,1,2,0
33,1,53837.29148358040,16,4,18.611092786422800,1,4,1
70,0,119425.2741173890,4,3,45.35588065466810,0,5,0
43,0,86607.29108095280,14,4,40.27337953693160,0,2,0
42,1,25069.481634738500,15,1,1.7973048960647700,0,1,0
43,1,66806.56056712720,20,4,55.59200349279620,1,0,1
65,0,36226.70581569030,12,4,30.7072971665818,1,1,0
68,1,118640.91298845200,13,2,11.475917263080100,0,5,0
40,1,118450.32692747700,9,3,43.45517426021220,1,5,1
64,1,118052.2737586710,11,3,56.20920642994850,0,3,1
24,1,22837.041580813600,17,2,18.841348677931400,0,4,0
22,1,86465.81008609770,20,2,53.63147275237200,0,3,1
40,0,98472.83607271880,20,0,53.05186978022510,0,2,0
25,0,44363.55273268570,4,3,7.011613484321620,1,1,0
68,0,41751.76952013790,19,3,14.812057233267800,0,3,0
68,0,55711.49595622600,15,3,22.18104531667660,0,5,0
43,0,33234.4787834398,20,1,51.35446763895060,0,4,0
23,1,39149.395756266100,2,1,26.425538854581300,0,4,0
26,1,107636.93841968800,1,2,14.377319387003300,0,0,0
35,1,70116.54761579990,4,4,40.45158220897570,1,2,1
70,0,85814.58773437640,19,0,13.078447783049900,1,0,0
31,1,67812.17840829990,6,3,49.3060618126673,0,1,1
43,0,118837.67700587800,3,1,8.367334537449440,1,0,0
43,1,69986.47259382560,19,2,55.46726532853660,1,4,1
27,1,103956.91021724300,2,0,32.59243202976030,0,1,0
36,1,144485.53196089600,19,2,31.01282450303320,0,4,0
31,1,115923.0374129990,2,1,35.61813901907320,0,1,0
58,1,111633.23130564000,8,1,44.237461899072500,0,5,1
47,1,49291.20089366060,13,4,1.2872360516746900,0,4,0
29,0,64518.237248512700,6,3,54.11842213489500,0,1,1
44,0,114377.38829808800,16,0,5.619798558293890,1,5,1
54,1,90906.14302289770,3,1,51.63019657657260,1,0,0
24,0,98084.63865128630,19,0,4.63880043363649,0,0,0
54,0,28320.825059120700,3,1,47.31540333628750,1,4,1
55,0,29911.09833656340,15,2,34.0233287197705,0,5,0
29,0,149326.50821557400,20,4,3.5625680769026100,0,3,1
23,0,142681.2070666290,12,2,25.50042481679640,0,2,0
25,1,65146.01507396600,6,1,38.490247321475300,0,4,1
54,1,113399.0131519320,11,0,29.652213307895400,0,1,0
18,1,26716.933815534900,6,3,29.218736383151500,0,0,0
34,1,145241.27644776200,10,2,28.629734895926700,0,2,0
62,1,93492.9330943093,0,0,26.36083551484620,0,3,0
70,1,59135.99011846070,5,3,18.858073412346500,0,0,1
58,1,90382.98895518610,5,3,41.27335750709700,0,2,0
36,0,29825.869801028700,5,0,42.942765497172000,0,4,1
23,1,20017.51009058310,5,3,23.93181028958610,0,5,0
52,0,22722.844934018700,18,2,50.149021572523100,0,3,0
33,0,96410.01691208580,14,1,21.25928958489980,0,0,0
47,0,43065.7400310619,7,0,17.226461576780100,1,2,0
40,1,36167.89187006630,20,0,49.71060206951390,0,2,0
52,0,69898.28375129570,12,1,43.32499366971540,0,4,1
57,1,112561.8226430020,8,0,18.0590663867069,1,0,0
64,1,132261.17792689100,13,3,35.30578292778880,0,1,0
43,0,45897.9857362269,1,4,24.79849399655480,0,2,0
41,0,70461.54179650940,11,2,40.9832109259442,1,1,1
65,1,26529.38149031660,18,3,6.586178439782910,0,4,0
68,1,30007.330718445600,19,3,9.673882339086940,1,5,0
19,1,24590.47614223110,1,3,14.971057541914600,0,5,0
38,0,115929.2611360230,20,3,44.229310848377600,0,5,1
53,1,30017.576287463100,14,3,35.352009479352600,0,4,0
64,0,112523.96474698600,9,4,16.40067510061500,1,4,1
70,1,86224.87665947270,13,0,56.322026176378900,0,2,0
21,1,36652.447027606,16,4,44.28492758150250,1,2,1
58,1,143569.03683620600,20,1,53.43604449201500,0,4,1
56,0,95610.89808859520,5,4,35.65351968333870,0,1,0
32,0,88939.27732239060,18,1,31.73226117934010,1,1,1
18,1,34941.28961774370,4,1,51.11840136578480,0,1,0
22,0,37476.56682305580,2,1,13.2883828340592,0,3,0
64,0,130545.2401455860,18,2,40.64659213769600,0,3,1
68,0,21910.140525144,10,1,27.688829270244300,1,1,0
39,0,126226.65846202600,19,2,20.842177570411200,0,3,1
44,1,121888.77952293400,18,2,23.253548715270400,0,2,0
70,1,86446.78810083990,2,1,27.178385374750400,1,2,0
50,0,136101.72667540400,13,1,55.206090983450800,0,2,0
43,1,114767.53801525600,12,2,50.4096027952493,0,2,0
25,0,72231.24408506220,0,2,16.826771176416300,1,3,1
60,0,54492.39788221070,14,2,18.105560995348700,0,4,0
65,1,55499.20529646560,20,4,12.778099651935100,0,5,0
31,0,51356.18948794040,13,4,32.94039566537180,0,1,1
52,1,149123.1520049850,8,3,47.40842477905890,0,2,0
38,1,56530.58485813280,9,3,43.55224358243610,1,5,1
57,1,79069.05349279490,8,4,43.22162230133540,0,2,0
55,1,37596.030696099100,18,1,42.4228714461853,1,4,1
40,1,31322.059683450300,20,1,9.333378183566880,0,2,0
65,0,57988.36996004670,5,0,49.279730056923500,0,3,0
46,0,84195.82525940070,12,1,13.355642578489400,0,3,0
43,0,101042.77456072700,14,4,1.596751467989310,0,5,0
28,0,114836.06972481200,20,1,4.1215385629692000,0,2,0
49,1,135205.45146046000,20,3,6.459184707636430,0,0,0
32,1,58387.764226232600,15,1,36.43579112204380,1,5,1
69,1,120245.96606074500,13,4,33.5869683450824,0,2,0
40,0,136232.2593293230,0,4,4.728108477196460,0,3,0
34,1,102069.98190195900,16,4,41.1183308952732,1,5,1
26,1,107903.08306980600,7,2,20.97806251764530,0,1,0
68,0,102507.2655230120,6,0,52.12061273169350,0,1,0
64,0,72985.9471145962,1,1,50.15830792734180,0,4,0
44,1,85798.44216923170,9,0,20.955627071719800,0,3,0
18,0,29053.349261112700,17,1,35.68623716879410,0,3,1
47,0,73287.63566051750,9,0,57.5859702946618,0,3,1
53,0,55997.58335911520,17,2,13.401326154411900,1,1,0
50,1,76422.5176026038,12,4,15.679026761435700,1,4,1
51,0,85052.14894232620,12,4,30.481310586691300,0,4,1
33,0,79662.26715758660,4,4,36.7930302567762,1,2,0
53,1,21575.700703706100,10,4,59.90080663768640,0,1,0
52,0,79310.74616422050,3,2,11.409946457750700,0,0,0
27,0,145689.9149739070,18,4,22.548447649156000,0,3,1
40,0,30850.331048619800,7,3,35.510922744744600,1,4,1
39,0,98812.88190762710,3,2,46.30470545438900,1,5,1
20,0,76422.72645213870,13,4,41.938715583975300,1,1,0
69,1,41411.82594619850,16,3,37.80087983916820,1,5,1
57,0,86801.08034687980,7,0,24.02698661112510,0,5,0
52,1,34798.99115195820,5,1,6.524340706684130,1,1,0
31,0,122381.3811616410,1,2,42.81915662946310,0,4,1
56,1,48679.553852457500,17,1,10.110529694813600,0,3,0
45,0,103533.4759395750,5,3,27.53094165383950,0,4,0
53,0,99329.26943209340,3,2,54.79194305215630,1,0,0
38,1,30549.39320971110,0,0,54.249984775734200,0,2,1
21,1,82574.73971259210,9,0,24.667730200016100,0,0,0
37,0,122519.94540741300,5,3,21.341416247092600,0,5,0
66,0,41090.34275172230,3,1,16.37983430669500,0,5,0
54,0,97162.92159924220,11,2,32.24478816204780,1,1,1
36,0,123789.44426738600,2,1,54.07125314068230,0,5,1
21,0,73640.83931032110,3,3,31.359145630549600,0,3,1
47,1,58647.802739953400,6,0,47.64348560877820,0,5,0
24,0,94343.39525953430,2,3,40.19602262973530,1,2,1
32,0,134714.12789295400,7,1,16.707658588429800,0,2,0
22,0,147050.02803889500,2,0,29.455188115776400,0,2,0
50,0,81923.64532914280,5,0,33.09776795238000,0,4,0
27,0,120479.79264389500,19,2,15.743368779423100,0,1,0
43,1,147283.6419419700,12,0,48.014832646295300,0,3,1
22,0,87622.08600039770,2,1,24.942913439816000,0,2,0
48,0,35383.70482004040,10,1,53.03655775329580,0,3,0
66,1,141127.98352626600,0,1,1.1288644285776800,0,3,0
41,1,108740.23875904200,8,1,37.69854213972990,0,0,0
58,1,122052.1506988170,17,4,21.254757182548700,0,2,0
39,1,106829.59984447200,9,0,44.36654279720080,0,1,1
68,0,63219.300429332600,20,2,55.69324544598310,1,4,1
63,0,73773.54773942260,7,3,4.540483362751700,1,3,1
27,0,56955.632080577200,3,1,50.36705148248340,0,0,0
66,0,60536.09730108380,16,2,55.95726056320420,1,0,1
42,0,42778.830373757600,17,3,59.98534224231360,0,3,0
44,1,126873.41087802900,7,4,23.24345500556590,0,4,0
70,0,115856.42006041400,9,2,19.042997165736200,0,3,0
39,1,84715.62604445770,9,0,56.511699782187800,0,4,1
49,0,118377.69573952300,19,4,7.829842728533150,1,5,1
38,1,101457.02644211700,14,4,57.65286627058670,0,3,1
61,0,109107.7048188470,13,2,4.43483321244504,1,4,1
23,0,97095.76344428190,13,4,24.56650446282040,1,3,1
43,0,63450.981430487900,13,3,3.029789298754040,0,1,0
36,0,44193.18432001610,17,3,11.49515946533550,0,0,0
69,1,125530.07245171800,14,1,25.985438545710600,1,4,1
29,0,145204.9645065930,4,4,47.2720066590963,0,4,1
54,1,142288.30186499400,15,3,9.585520722858070,1,5,1
66,1,124832.47024026900,11,3,39.3566801817336,0,3,1
42,0,109457.51179125000,1,2,5.176694724659290,0,4,0
50,0,37571.61759012700,13,2,28.35370238626350,0,2,0
21,0,76396.26454494890,18,2,52.572437963524000,1,5,1
35,0,20996.324244399300,0,2,15.222796405547500,0,4,0
19,1,28862.400220114200,19,3,49.6770838294252,0,4,1
45,1,135727.95034270300,14,2,40.91185646605230,1,0,1
40,1,116574.59417683200,10,2,5.501844796270690,0,4,1
18,1,61002.896447241700,0,2,46.83673114408750,0,1,0
27,0,106996.03418195000,1,4,58.884759846297100,0,5,1
23,1,23035.77252266420,17,0,53.429884716354500,0,2,0
64,1,62207.87049570780,2,0,41.9379265506682,0,0,0
42,0,76224.72418291720,9,4,24.479660436464700,0,4,0
38,1,30519.506796662800,4,4,59.89379455227140,0,3,0
45,1,129459.811875708,1,2,41.45345320664680,0,3,0
25,1,60735.22928606860,8,4,21.583354579712100,0,5,1
32,1,51451.11844101880,4,4,32.86467999340960,0,4,1
18,1,118931.03005440100,1,2,33.43139220573810,1,0,1
48,1,146863.58813830700,6,0,17.759444953385300,0,2,0
20,1,59303.32241569420,18,1,6.569451078327690,0,4,1
39,1,140524.38175159600,13,2,53.38243743297990,0,5,1
57,1,79069.05349279490,8,4,43.22162230133540,0,2,0
28,0,53070.90550944010,0,1,18.854767792796500,1,2,0
70,0,126922.47327246700,12,2,41.176244192811,1,4,1
43,0,89293.75274199820,10,4,57.24566595985670,1,4,1
70,0,123568.5816348780,5,3,31.13029608238380,1,0,0
18,1,24995.42536510230,15,3,30.336522506179700,1,2,1
59,1,86588.84970564770,6,1,3.8366591407005600,0,2,0
38,0,144269.4477641920,17,1,34.15493848960110,0,4,1
68,0,134789.1972278710,3,0,5.462191466238420,0,3,1
65,0,65922.68310526830,15,3,34.861819031256000,1,0,1
50,0,113878.62060926800,15,0,32.954218445110700,0,5,1
22,0,29992.069785901300,1,1,26.428284486774200,1,4,0
48,1,130295.29928176800,19,3,57.51681246722330,1,2,1
52,0,46909.03519699550,7,0,30.447410828348800,0,3,0
65,0,100913.77340358000,17,1,56.92394307794510,1,4,1
53,0,55985.86001286980,15,3,53.24800717155230,0,5,1
51,1,30094.413507308700,15,1,40.28560820676040,0,1,0
51,1,78415.46646515350,9,1,47.990654402730800,0,4,1
28,0,55151.12722998830,17,1,34.01739448303870,1,0,1
37,1,104411.90219499500,3,4,5.621296253803890,0,5,1
61,0,81997.0138408361,1,3,36.99255738200730,0,4,0
33,0,33082.87220805930,15,2,7.901999736730200,1,1,0
61,1,28540.33166406760,3,4,40.104358231876200,1,0,0
57,0,135943.3788253960,9,4,13.191947908610600,0,3,0
18,0,86356.22357055020,11,1,35.40099338090650,1,0,1
25,0,111342.39050111700,18,1,44.992071618709600,0,2,1
43,1,147555.02879133500,17,4,52.52534152220600,0,5,1
68,0,136365.30629185000,6,2,2.947704218119310,0,0,0
43,0,101042.77456072700,14,4,1.596751467989310,0,5,0
30,0,130105.95104691800,16,2,27.17509917911580,0,1,0
50,0,41425.926044826800,6,0,29.865092824238700,1,2,0
56,1,115264.20081961300,6,1,57.21722896106450,0,3,1
24,1,142778.31575025900,19,4,45.54856447415480,1,4,1
67,0,110024.06746699900,8,3,31.66141683787220,0,5,1
50,1,109555.08926651200,20,0,1.2184420031125900,1,3,1
30,1,64611.75591244560,12,1,40.71356953934720,0,2,1
56,1,87768.48619503810,4,1,22.018743781623000,0,3,0
60,0,84072.39597816810,4,4,23.197533323310300,0,2,0
57,1,57765.58573728470,9,3,30.354229645619700,1,3,1
30,0,55902.04251671690,19,1,25.268487129543000,0,4,1
35,1,126987.89465543000,6,4,44.661050209334600,0,3,0
29,1,67976.89282891920,16,4,57.398287170902800,0,3,1
37,1,125816.13503578200,14,4,27.322806130973000,0,4,1
22,0,115866.38993379300,16,4,37.65236529832990,1,2,1
27,0,90753.0155947807,20,2,51.66636951094190,0,5,0
43,0,144286.12866955100,5,4,38.391491144229800,0,4,0
29,0,127092.74994876800,7,4,55.96789573578210,0,3,1
49,0,97118.80411396000,0,4,52.05237899286050,0,1,0
34,1,58300.52152500510,17,3,9.100899133354660,1,1,1
29,1,116187.53569970100,2,1,56.77311537484660,1,3,1
40,0,87520.16173551190,15,0,50.80696785362080,1,1,1
25,0,40658.061797016000,18,3,4.287951156358080,0,4,0
51,1,61286.28338394520,4,0,15.05435669306140,0,0,0
32,0,113515.97090799100,5,0,55.13514878118430,1,2,1
48,0,38537.23873064810,3,4,4.6842122234615200,0,0,0
36,1,117347.42380523000,16,2,12.308607810986200,0,3,1
65,1,55499.20529646560,20,4,12.778099651935100,0,5,0
38,0,66615.19999823350,14,1,27.072562853756600,0,2,0
42,1,27417.11374966310,19,1,52.26858719623290,0,0,0
58,0,85760.85008373780,18,3,27.507198270442300,1,1,0
53,0,29230.996389323200,19,1,30.10356881297500,0,0,0
50,0,41425.926044826800,6,0,29.865092824238700,1,2,0
50,0,90082.29185568110,11,1,46.92201451498600,0,3,1
56,1,48679.553852457500,17,1,10.110529694813600,0,3,0
29,1,38095.571174940400,14,3,49.689671332478700,1,4,1
23,0,126812.79670236100,15,1,17.17567822266570,0,1,0
30,0,35795.178919119300,18,0,4.226897299999790,0,1,0
40,1,36414.41640338540,8,1,48.522510699394600,0,5,0
66,0,143685.8753470380,14,3,52.594031093734900,0,2,0
33,0,79564.29527592600,3,0,26.970639393134400,0,5,0
42,0,46061.68701869240,5,0,9.289930883407000,1,0,0
20,0,44443.215500004100,9,2,11.46373033792480,1,0,0
25,0,40658.061797016000,18,3,4.287951156358080,0,4,0
67,0,80311.07898560330,18,1,32.979597110316400,0,5,1
54,0,120704.95905355400,15,4,30.110995324390300,1,1,1
46,0,38573.87497412350,9,3,58.25587438416180,0,4,0
42,1,35626.93978567490,19,2,54.63469003090720,1,0,0
30,1,131433.30340983800,1,4,8.40934405989948,0,0,0
50,0,74383.40233329640,13,1,52.09536825015690,0,2,0
21,0,85774.52800554110,9,2,44.50500534980960,0,1,1
67,0,73836.86782876050,0,3,35.36949286900340,0,1,0
38,0,132143.26124939300,14,0,42.5463578154867,0,4,1
64,1,74941.7956117692,2,3,49.6318111694496,1,2,0
48,1,66830.40944405560,0,0,17.919245775915100,0,3,0
58,1,133454.93256299800,5,3,58.95310759526030,0,3,0
46,0,50866.35088872480,19,0,59.7415245177397,1,0,1
68,0,104526.14201176000,8,0,42.272521199315900,0,0,0
66,1,117249.51332583900,3,4,7.326121258300760,0,2,0
56,1,106914.44407397900,13,1,58.352680792998900,1,0,1
65,1,131818.16013542700,0,2,14.021245412334800,1,1,0
24,0,35990.42836608690,11,1,3.1960805695904200,0,2,0
20,0,53787.64730156830,12,1,36.51689982549270,0,3,1
45,1,145322.2629253010,16,3,34.37060813713460,0,0,0
40,0,71551.97865869520,10,3,32.60394364195860,0,3,1
49,0,87170.79007941480,3,4,11.359206880442400,0,0,0
61,1,33701.11835401470,6,0,27.852329630933400,0,2,0
36,0,42558.186948246100,9,1,14.157579588490200,0,2,0
56,1,59513.0321612941,15,2,11.061744884995300,1,3,1
64,1,145821.80452985400,1,0,16.27873469647350,0,1,0
25,0,79992.07040121540,20,3,18.696370898085800,0,1,0
29,0,92161.04340929720,12,4,3.725592508896100,0,5,1
26,1,57555.04205819150,7,4,44.99829028720020,0,2,1
66,1,69452.07136615330,12,0,40.177948953567700,0,1,0
46,0,20001.5125181976,4,2,8.372437398957060,1,4,0
56,1,29250.577072546300,18,4,3.9420100131565500,0,2,0
44,1,23308.208787747600,1,0,7.047283422163560,1,1,0
35,1,134345.6411436990,6,0,3.189685877775830,1,4,1
28,1,119388.6133051130,4,1,39.275373193668300,1,5,1
36,0,51446.19767364910,6,3,3.0443918790270100,1,2,1
26,1,26806.15262437140,17,4,20.847229680771700,1,2,0
31,1,79500.94867070820,16,1,43.15917841949620,0,2,1
41,0,40809.312544094500,20,1,47.69041222825030,0,1,0
21,0,87334.86860263530,4,4,33.49073899676820,1,4,1
56,0,21317.05392360660,7,1,24.050918688956000,0,4,0
39,1,91438.8396663522,3,2,56.86593158412040,0,1,0
66,1,111592.07564356800,2,2,27.29581562455800,0,5,0
62,0,139460.4493731420,10,2,21.16318169722970,0,0,0
41,1,119377.29464981600,18,4,33.798809007384900,0,3,1
32,0,79756.43315234600,6,3,23.89544998139650,1,3,1
62,0,139162.58065935700,14,3,40.20100340896800,1,4,1
46,1,22494.995986997400,14,3,56.91996789485300,1,1,0
48,1,122216.1659199240,19,0,8.17471030153537,0,2,0
59,0,130046.86402973600,10,4,26.06221714992700,0,3,0
45,1,65808.74305925510,14,1,22.164894153219800,0,5,0
53,1,95890.46146683450,2,3,31.538368438174700,1,0,0
43,0,145903.5410872700,1,2,5.191207862797130,0,4,0
41,1,66214.09135737650,20,4,4.206537802570770,0,0,0
38,1,39662.08773554150,16,1,58.39780536094130,1,1,1
54,1,21152.227064751000,7,3,44.37982176210080,0,1,0
49,1,21213.11057752210,11,0,18.67382285727890,0,3,0
34,1,121447.51539089500,17,2,58.37882724238610,0,5,1
64,1,21177.041005448200,3,3,27.881911305956800,0,3,0
60,0,137318.92994715900,11,2,10.982980048957900,0,5,0
35,0,39506.32641021800,18,1,17.7440786394514,1,4,1
63,0,116261.89715395700,12,4,44.07768107880910,0,4,1
41,1,52288.91384807400,5,1,6.9752913060293800,0,4,1
37,0,133095.99075419900,14,4,16.15794279684530,0,2,0
53,0,134440.9190793610,4,2,11.344720241234700,0,4,0
37,1,38292.498646338600,9,4,49.334818514042800,0,0,0
54,1,81098.47486053180,6,0,16.521721765527300,0,3,0
66,0,84161.05544421540,12,1,53.746424677091600,0,0,0
37,0,70632.64633731470,20,0,27.09779202496270,1,4,1
59,0,130046.86402973600,10,4,26.06221714992700,0,3,0
49,0,55204.82264480640,11,0,15.674798233646900,1,2,0
43,1,144512.67412846700,18,0,46.98949799618720,1,1,1
61,1,124930.21985743500,13,4,24.029220976431700,0,5,0
58,0,104626.55072962400,1,1,59.88066987793740,0,3,0
37,0,65154.632413649500,10,4,28.063601824384800,0,1,0
51,1,96466.29470329080,3,4,39.81901966111590,1,3,1
45,1,79846.57525625040,3,1,17.280980861274100,0,1,0
42,0,91351.62646005630,6,1,29.413759272942400,0,3,0
21,0,46342.242437594600,0,0,35.046778668316500,0,2,0
19,1,105381.41361415800,14,3,34.479149273370500,0,5,1
41,0,45868.97806472680,6,3,48.91859565027230,0,5,0
56,0,99951.68584505270,13,2,33.19445123314950,1,4,1
25,1,28581.279738231400,12,2,52.575966367442000,1,1,1
39,1,32791.43446274170,18,2,1.137080961783890,0,1,0
59,0,65232.38350568170,11,1,35.29794016377820,0,0,0
28,1,35405.3410677597,11,0,53.44245080521180,0,5,1
46,0,32041.312796677700,16,1,51.422522521520200,0,2,0
61,1,64964.069895921500,15,4,27.222016502618400,0,4,0
69,1,127377.16765205100,12,1,27.625825453480800,0,4,0
60,0,28128.418446569900,18,0,10.839091863488800,0,2,1
66,1,23405.572109168400,2,1,38.295087193023400,1,4,0
55,1,102467.27955331900,4,3,26.881398549863000,1,4,0
50,0,32201.447027036300,16,2,32.43798080471230,1,3,1
21,1,115369.86947298200,10,2,45.434011983600800,1,0,1
19,1,120009.63617337400,9,0,43.91969108588110,0,5,1
43,0,57392.254775678200,10,4,41.15344364028220,0,0,0
49,0,53708.57865255060,20,2,52.80072456747990,0,1,0
39,1,32791.43446274170,18,2,1.137080961783890,0,1,0
44,0,86086.8710991164,16,4,28.9704995823636,0,3,0
58,1,95025.9361849817,18,0,10.14551137758850,0,0,0
61,0,134267.25703669500,16,1,7.962355570543120,0,1,0
40,1,144549.55241551900,18,0,38.180330008335400,1,4,1
45,1,79846.57525625040,3,1,17.280980861274100,0,1,0
25,1,111148.14727427200,17,4,51.140713671224400,1,1,1
52,0,107622.58947764300,19,2,48.29082818242550,0,1,0
47,1,146984.04270638600,5,2,15.016040859498400,0,5,0
22,1,51251.8586761559,4,1,46.09084428609430,0,0,0
52,1,93329.6237483573,1,3,53.42346402294460,0,2,0
29,0,62263.52200612090,19,4,4.270546347532800,0,2,0
55,1,58921.42648831860,18,2,13.107985150350200,1,0,0
68,1,98250.04603196710,10,4,40.686016268080600,0,5,1
37,0,44092.92333873290,14,2,43.924649206578400,0,3,1
25,0,114048.21632050000,8,0,24.864972802662700,0,3,1
68,1,121482.12326532200,13,0,4.535584163943810,0,0,0
31,1,58407.82107206460,8,4,52.846044896938900,0,3,1
28,0,91035.94109012020,18,3,20.38765602931070,0,4,1
43,0,113869.22196635600,12,0,16.379037635143300,0,2,0
64,1,31880.893223130900,17,0,22.753472516233700,1,1,0
27,1,78533.05199857570,17,4,40.66467649827600,0,1,1
68,1,104789.15374091100,11,4,44.06548763786350,0,0,0
50,0,92821.86385003950,20,0,51.33456214270400,0,4,1
24,0,113122.04044814900,16,4,58.58907542777470,0,1,1
23,1,38304.383356047900,17,4,55.85771163519970,0,5,1
19,1,68792.88802954830,14,0,4.168127637359100,0,3,1
51,1,34635.45075355180,19,3,8.297760186211880,1,5,0
70,1,44197.666707935200,4,4,16.593685413651500,1,4,0
33,1,58989.48449590800,16,0,43.98958431669710,1,5,1
25,1,94019.05695369680,0,2,9.779714156572390,1,1,0
28,1,90853.49945660200,8,3,14.193144567767200,1,0,1
60,0,139729.28774255500,11,3,31.352693629690800,0,4,1
59,1,126929.52326994600,19,4,43.92621909049980,1,2,1
68,0,136365.30629185000,6,2,2.947704218119310,0,0,0
22,0,37476.56682305580,2,1,13.2883828340592,0,3,0
31,1,139371.08126780700,6,0,38.71843288726200,1,3,1
45,0,67397.1846656802,5,1,18.333873768605300,0,3,0
39,1,75573.65942968000,12,4,49.08590368389270,1,3,1
45,0,147447.93632248400,14,0,23.55200188085500,0,4,1
46,1,133256.58269419700,7,2,41.685400866460600,0,2,0
57,0,68324.12863230460,15,2,51.60808460137570,0,2,0
26,1,29370.96367982750,10,3,14.11468323167650,0,2,0
44,0,86086.8710991164,16,4,28.9704995823636,0,3,0
54,0,90782.70326403420,19,4,5.19553178459277,0,4,0
35,0,55353.46439672200,4,0,5.8191061271148800,0,5,0
33,0,21964.388947881800,9,1,38.83467684615530,1,2,0
28,0,37455.73061729580,1,1,26.306218610128900,0,0,0
